N,HeapSort
74700,0.044837
74800,0.044141
74900,0.045459
75000,0.044291
75100,0.044985
75200,0.043811
75300,0.044923
75400,0.044363
75500,0.045169
75600,0.0441
75700,0.045541
75800,0.044379
75900,0.045937
76000,0.043921
76100,0.045777
76200,0.04382
76300,0.045743
76400,0.043938
76500,0.045961
76600,0.04412
76700,0.045833
76800,0.044795
76900,0.045597
77000,0.044474
77100,0.046605
77200,0.044972
77300,0.045791
77400,0.045161
77500,0.04569
77600,0.044493
77700,0.048712
77800,0.044645
77900,0.046904
78000,0.04486
78100,0.046992
78200,0.044839
78300,0.047303
78400,0.045163
78500,0.060487
78600,0.046469
78700,0.045537
78800,0.047366
78900,0.045461
79000,0.047478
79100,0.045737
79200,0.047647
79300,0.045676
79400,0.048048
79500,0.045734
79600,0.047895
79700,0.046705
79800,0.047479
79900,0.047905
80000,0.046062
80100,0.048012
80200,0.046269
80300,0.048323
80400,0.04637
80500,0.048483
80600,0.046405
80700,0.048957
80800,0.047097
80900,0.047765
81000,0.048518
81100,0.046786
81200,0.048737
81300,0.047098
81400,0.0489
81500,0.046806
81600,0.049094
81700,0.046979
81800,0.04946
81900,0.046795
82000,0.048882
82100,0.047549
82200,0.049708
82300,0.049556
82400,0.047569
82500,0.049707
82600,0.047601
82700,0.049937
82800,0.047935
82900,0.05005
83000,0.050097
83100,0.047922
83200,0.050209
83300,0.050518
83400,0.050379
83500,0.050364
83600,0.050979
83700,0.050368
83800,0.050002
83900,0.057056
84000,0.053964
84100,0.055811
84200,0.054797
84300,0.0557
84400,0.055116
84500,0.054987
84600,0.055208
84700,0.057304
84800,0.056561
84900,0.056487
85000,0.057003
85100,0.057822
85200,0.053695
85300,0.051555
85400,0.051659
85500,0.051637
85600,0.051806
85700,0.052273
85800,0.051717
85900,0.051109
86000,0.052127
86100,0.052214
86200,0.052268
86300,0.052189
86400,0.052284
86500,0.051778
86600,0.05222
86700,0.051693
86800,0.052927
86900,0.052651
87000,0.060714
87100,0.052948
87200,0.052823
87300,0.052867
87400,0.052971
87500,0.052823
87600,0.053277
87700,0.053305
87800,0.053136
87900,0.052638
88000,0.053375
88100,0.053387
88200,0.053486
88300,0.053852
88400,0.053382
88500,0.052731
88600,0.053554
88700,0.052944
88800,0.053744
88900,0.053825
89000,0.053175
89100,0.054167
89200,0.053957
89300,0.05405
89400,0.054252
89500,0.054256
89600,0.054374
89700,0.054158
89800,0.054775
89900,0.05374
90000,0.054499
90100,0.054744
90200,0.055108
90300,0.054689
90400,0.054305
90500,0.054836
90600,0.054942
90700,0.055035
90800,0.054958
90900,0.055253
91000,0.055016
91100,0.055227
91200,0.055568
91300,0.055238
91400,0.055718
91500,0.055822
91600,0.055499
91700,0.056222
91800,0.056101
91900,0.05576
92000,0.055536
92100,0.055592
92200,0.055231
92300,0.055932
92400,0.055332
92500,0.056063
92600,0.056085
92700,0.056362
92800,0.056401
92900,0.056247
93000,0.056286
93100,0.056255
93200,0.056741
93300,0.056528
93400,0.056693
93500,0.056845
93600,0.057202
93700,0.056051
93800,0.056805
93900,0.056488
94000,0.056714
94100,0.057702
94200,0.057046
94300,0.057459
94400,0.056854
94500,0.058138
94600,0.056589
94700,0.057302
94800,0.05746
94900,0.057529
95000,0.064189
95100,0.058025
95200,0.057651
95300,0.057701
95400,0.05764
95500,0.057003
95600,0.058196
95700,0.057587
95800,0.057892
95900,0.057874
96000,0.057717
96100,0.057968
96200,0.057404
96300,0.057758
96400,0.059568
96500,0.058362
96600,0.058361
96700,0.059432
96800,0.058799
96900,0.058862
97000,0.058593
97100,0.058943
97200,0.058841
97300,0.059796
97400,0.058928
97500,0.05916
97600,0.059292
97700,0.058988
97800,0.05888
97900,0.059581
98000,0.059525
98100,0.059225
98200,0.058367
98300,0.059299
98400,0.059282
98500,0.05928
98600,0.059273
98700,0.059845
98800,0.060254
98900,0.060385
99000,0.060458
99100,0.059836
99200,0.06006
99300,0.060744
99400,0.059732
99500,0.060435
99600,0.060351
99700,0.060932
99800,0.060176
99900,0.060913
100000,0.061358
